City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Nanchital,MX,75.58,light rain,18.07,-94.4,Motel Villas de Coatza
424,Anori,BR,77.68,moderate rain,-3.77,-61.64,Novo Hotel 05 Irmaos
426,Mackay,AU,90.0,clear sky,-21.15,149.2,International Lodge Motel
428,Muroto,JP,71.6,clear sky,33.28,134.15,Oota Ryokan
430,Ngemplak,ID,89.6,scattered clouds,-7.55,110.72,Hotel Pramesthi
433,Dhidhdhoo,MV,83.08,moderate rain,6.88,73.1,Dhidhoo beach
436,Kiama,AU,79.0,clear sky,-34.68,150.87,The Sebel Kiama Harbourside
439,Road Town,VG,79.0,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
441,Kawalu,ID,87.28,light rain,-7.38,108.21,KOSAN UNGU UNSIK
443,Christchurch,NZ,71.6,few clouds,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
445,Batemans Bay,AU,72.0,scattered clouds,-35.72,150.18,Batemans Bay Marina Resort
447,Maceio,BR,73.4,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
456,Pokhara,NP,73.63,clear sky,28.23,83.98,Hotel View Point
458,Port Pirie,AU,84.2,clear sky,-33.18,138.02,John Pirie Motor Inn
461,Savalou,BJ,74.71,clear sky,7.93,1.98,Hotel F&F
462,Okitipupa,NG,75.7,overcast clouds,6.5,4.78,Coastal Hotel & Suites
467,Acapulco,MX,84.2,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
469,Pedernales,DO,78.82,overcast clouds,18.04,-71.74,Hotel Costa Marina
471,Warri,NG,76.03,broken clouds,5.52,5.75,BON Hotel Delta
472,Ocos,GT,77.0,broken clouds,14.51,-92.19,La Bajadita
473,Sibolga,ID,87.28,broken clouds,1.74,98.78,Hotel Syariah CN Darussalam
476,Bairiki,KI,86.0,few clouds,1.33,172.98,Tarawa Boutique Hotel
478,El Cobre,CU,78.8,few clouds,20.05,-75.95,Hospedería del Santuario de Nuestra Señora de la Caridad de El Cobre
484,Vanimo,PG,84.92,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
491,Ruteng,ID,79.99,few clouds,-8.61,120.47,Hotel FX72 Ruteng
492,Bubaque,GW,84.0,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
495,Tamandare,BR,76.77,broken clouds,-8.76,-35.1,Pousada 100 Passos
497,Sola,VU,84.2,broken clouds,-13.88,167.55,Ulkel Guest House
501,Shorapur,IN,77.79,overcast clouds,16.52,76.75,Government Old ST SC Hostel Shorapur ( ಸುರಪುರ )
502,Mayumba,GA,76.78,overcast clouds,-3.43,10.66,LIKWALE LODGE
503,Port-Gentil,GA,78.1,overcast clouds,-0.72,8.78,Fengshui Residence
504,Xiamen,CN,71.6,light rain,24.48,118.08,厦门马哥孛罗东方大酒店
505,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
507,Bom Jesus,BR,74.73,clear sky,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
511,Saint-Paul,RE,80.6,clear sky,-21.01,55.27,Boucan Canot
515,Baracoa,CU,79.14,broken clouds,20.35,-74.5,Hostal Rio Miel
518,Teguise,ES,73.4,clear sky,29.06,-13.56,B&B La Casona de Nazaret
531,Ternate,ID,85.41,light rain,0.8,127.4,Grand Dafam Bela Ternate
532,Angoche,MZ,75.29,few clouds,-16.23,39.91,Guest House HESADA
534,Kapoeta,SS,77.23,clear sky,4.77,33.59,Eastgate Hotel
544,Kudahuvadhoo,MV,82.33,light rain,2.67,72.89,Kudahuvadhoo Retreat
546,Buala,SB,85.89,light rain,-8.14,159.59,Maringe Lagoon Lodge
550,Barreirinha,BR,76.37,broken clouds,-2.79,-57.07,Hotel e Restaurante Tupana Iwato
554,Saint-Joseph,RE,78.8,overcast clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
555,Omboue,GA,74.05,overcast clouds,-1.57,9.26,Hotel Olako
558,Non Sang,TH,84.0,few clouds,16.87,102.57,ดวงใจ หวาน หวาน
562,Haimen,CN,73.4,broken clouds,23.19,116.61,Jinghao Business Hotel
563,Jizan,SA,80.6,few clouds,17.33,42.67,شهدان. ابوالحجر
569,Mannarakkat,IN,80.6,haze,10.98,76.47,The Park Residency
574,Praya,CV,75.2,clear sky,14.92,-23.51,LT Aparthotel
576,Sinnamary,GF,79.63,heavy intensity rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
577,Cockburn Town,TC,80.62,clear sky,21.46,-71.14,Osprey Beach Hotel
582,Lazaro Cardenas,MX,76.91,few clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
584,Batticaloa,LK,79.48,light rain,7.71,81.69,Grand Star Guest House
590,Flinders,AU,79.0,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
591,Garowe,SO,71.55,few clouds,8.41,48.48,Curubo Hotel
592,Tuy Hoa,VN,81.45,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
594,Mapiripan,CO,74.8,broken clouds,2.89,-72.13,Monserrate
595,Moussoro,TD,77.22,clear sky,13.64,16.49,Pharmacie alnadja Moussoro
596,Independencia,BR,77.63,clear sky,-5.4,-40.31,Pousada Santa Cruz
598,Antalaha,MG,76.12,light rain,-14.9,50.28,Hotel Vitasoa
599,Veraval,IN,81.99,clear sky,20.9,70.37,Lords Inn Somnath
609,Luwuk,ID,88.61,moderate rain,-0.95,122.79,Hotel Santika Luwuk
612,Ambilobe,MG,79.61,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
615,Kismayo,SO,80.73,clear sky,-0.36,42.55,Agan-Hotel
616,Isabela,PH,86.0,scattered clouds,6.71,121.97,Isawad Resort
621,Atambua,ID,89.69,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
622,Xiongzhou,CN,75.11,scattered clouds,25.12,114.3,Xinhewan Business Hotel
630,Salcedo,PH,86.07,clear sky,12.81,121.47,Red Palm Beach Resort
631,Lorengau,PG,84.92,light rain,-2.02,147.27,Lorengau Harbourside Hotel
633,Pochutla,MX,78.01,few clouds,15.74,-96.47,Hotel Posada San Jose
634,Upata,VE,75.0,overcast clouds,8.01,-62.4,Posada Villa Nela
637,Alofi,NU,80.6,broken clouds,-19.06,-169.92,Taloa Heights
642,Mae Ramat,TH,84.2,few clouds,16.98,98.52,ก้านพลู ไอศครีมกะทิสด
645,Fare,PF,80.8,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
652,Maues,BR,79.9,broken clouds,-3.38,-57.72,Hotel Miramar
655,Itarema,BR,80.24,few clouds,-2.92,-39.92,Windvillage
