City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,Bethel,41.37,-73.41,64.4,100,90,8.01,US,2020-11-12 00:04:30
107,Bolgatanga,10.79,-0.85,79.36,27,38,5.61,GH,2020-11-12 00:04:30
108,Whitehorse,60.72,-135.05,28.0,79,75,23.04,CA,2020-11-12 00:04:30
109,Esperance,-33.87,121.9,53.6,100,90,8.05,AU,2020-11-12 00:04:30
110,Manggar,-2.88,108.27,82.67,77,90,5.66,ID,2020-11-12 00:04:30
111,Northam,51.03,-4.22,51.01,90,75,21.0,GB,2020-11-12 00:04:31
112,Tuatapere,-46.13,167.68,57.0,78,66,15.99,NZ,2020-11-12 00:04:31
113,Hamilton,39.18,-84.53,50.0,61,20,8.05,US,2020-11-11 23:59:49
114,Khatanga,71.97,102.5,-8.61,91,91,3.0,RU,2020-11-12 00:04:31
115,Barrow,71.29,-156.79,17.6,85,90,17.22,US,2020-11-12 00:00:38
116,Port Hedland,-20.32,118.57,84.2,37,0,10.29,AU,2020-11-12 00:04:32
117,Lazaro Cardenas,17.96,-102.2,79.83,76,0,4.18,MX,2020-11-12 00:00:04
118,Smithers,54.78,-127.17,28.4,79,90,3.36,CA,2020-11-12 00:00:05
119,Gdynia,54.52,18.53,46.0,80,90,5.82,PL,2020-11-12 00:04:32
120,Puerto Ayora,-0.74,-90.35,69.01,89,35,3.0,EC,2020-11-12 00:04:33
121,Port Alfred,-33.59,26.89,61.99,82,0,12.91,ZA,2020-11-12 00:04:33
122,Monterey,36.25,-121.25,52.0,19,100,3.0,US,2020-11-12 00:03:17
123,Bowen,-20.02,148.23,82.4,48,40,9.17,AU,2020-11-12 00:04:34
124,San Lazaro,18.04,-88.66,84.2,62,5,1.41,BZ,2020-11-12 00:04:34
125,Kasongo,-4.45,26.67,67.93,98,99,2.13,CD,2020-11-12 00:04:34
126,Raga,8.46,25.68,72.32,35,0,1.39,SS,2020-11-12 00:04:34
127,Zhigansk,66.77,123.37,2.62,93,99,12.91,RU,2020-11-11 23:59:38
128,Souillac,-20.52,57.52,73.4,83,40,6.93,MU,2020-11-12 00:04:35
129,Melfi,41.0,15.65,50.0,81,5,8.05,IT,2020-11-12 00:04:35
130,Sawakin,19.11,37.33,80.87,78,53,14.63,SD,2020-11-12 00:04:35
131,Lagoa,39.05,-27.98,61.36,56,97,1.97,PT,2020-11-12 00:04:35
132,Betsiamites,48.94,-68.65,68.0,81,20,29.97,CA,2020-11-12 00:04:36
133,Havre-Saint-Pierre,50.23,-63.6,41.0,93,90,12.75,CA,2020-11-12 00:04:36
134,Mahibadhoo,3.78,72.97,82.31,74,72,7.36,MV,2020-11-12 00:04:36
135,Rybnoye,54.73,39.51,27.0,88,93,5.17,RU,2020-11-12 00:04:36
136,Lompoc,34.64,-120.46,60.8,67,1,13.87,US,2020-11-12 00:00:46
137,Atuona,-9.8,-139.03,78.17,71,0,14.67,PF,2020-11-12 00:04:37
138,Bilma,18.69,12.92,68.63,30,42,6.04,NE,2020-11-12 00:04:37
139,Yelets,52.62,38.5,30.85,94,85,4.43,RU,2020-11-12 00:04:37
140,Nosy Varika,-20.58,48.53,71.74,84,74,7.54,MG,2020-11-12 00:04:37
141,Litovko,49.24,135.17,25.97,91,88,0.38,RU,2020-11-12 00:04:38
142,Faya,18.39,42.45,60.8,87,0,2.68,SA,2020-11-12 00:04:38
143,Singapore,1.29,103.85,82.4,83,75,1.12,SG,2020-11-11 23:59:46
144,Ewa Beach,21.32,-158.01,86.0,48,75,10.29,US,2020-11-12 00:04:39
145,Grindavik,63.84,-22.43,35.6,93,75,9.17,IS,2020-11-12 00:04:39
146,Venice,27.1,-82.45,79.0,94,90,24.16,US,2020-11-12 00:04:39
147,Belawan,3.78,98.68,78.8,100,40,2.24,ID,2020-11-12 00:04:39
148,Cockburn Town,21.46,-71.14,81.34,75,67,25.95,TC,2020-11-12 00:04:40
149,Lorengau,-2.02,147.27,86.52,61,82,5.93,PG,2020-11-12 00:04:40
150,Nanortalik,60.14,-45.24,29.86,85,0,9.08,GL,2020-11-12 00:04:40
151,Jacareacanga,-6.22,-57.75,78.31,80,100,1.21,BR,2020-11-12 00:04:40
152,Hachinohe,40.5,141.5,35.6,74,20,5.82,JP,2020-11-12 00:04:40
153,Mildura,-34.2,142.15,73.0,52,11,12.75,AU,2020-11-12 00:04:41
154,Mangaratiba,-22.96,-44.04,73.4,94,75,5.82,BR,2020-11-12 00:04:41
155,Kieta,-6.22,155.63,84.22,74,75,7.63,PG,2020-11-12 00:04:41
156,Keningau,5.34,116.16,80.6,78,20,5.82,MY,2020-11-12 00:04:41
157,Dwarka,22.24,68.97,77.07,38,0,8.5,IN,2020-11-12 00:04:43
158,Llandrindod Wells,52.24,-3.38,48.99,90,99,1.99,GB,2020-11-12 00:02:58
159,San Quintin,30.48,-115.95,64.51,47,0,11.21,MX,2020-11-12 00:04:43
160,Dikson,73.51,80.55,1.17,93,60,5.82,RU,2020-11-12 00:04:43
161,Te Anau,-45.42,167.72,70.07,38,49,4.74,NZ,2020-11-12 00:03:26
162,Coquimbo,-29.95,-71.34,57.2,82,75,4.7,CL,2020-11-12 00:03:16
163,Sao Filipe,14.9,-24.5,79.95,70,0,4.21,CV,2020-11-12 00:04:44
164,Nome,64.5,-165.41,33.8,86,90,9.17,US,2020-11-12 00:04:44
165,Avarua,-21.21,-159.78,80.6,74,15,17.22,CK,2020-11-12 00:04:44
166,Baykit,61.67,96.37,23.92,95,100,9.53,RU,2020-11-12 00:04:44
167,Hasaki,35.73,140.83,46.4,75,75,10.29,JP,2020-11-12 00:04:44
168,Alice Springs,-23.7,133.88,84.2,14,0,13.87,AU,2020-11-12 00:04:01
169,Nikolskoye,59.7,30.79,41.0,93,90,4.47,RU,2020-11-12 00:04:45
170,Bengkulu,-3.8,102.27,78.08,81,100,6.15,ID,2020-11-12 00:04:45
171,Kununurra,-15.77,128.73,91.4,52,39,6.93,AU,2020-11-12 00:04:45
172,Cherskiy,68.75,161.3,10.89,95,100,10.31,RU,2020-11-12 00:04:45
173,Port-Gentil,-0.72,8.78,78.8,94,40,4.7,GA,2020-11-12 00:04:46
174,Laguna,38.42,-121.42,59.0,50,1,8.05,US,2020-11-12 00:04:46
175,Vila Franca Do Campo,37.72,-25.43,59.0,67,75,4.7,PT,2020-11-12 00:03:11
176,Bristol,41.83,-71.17,66.99,94,100,3.0,US,2020-11-12 00:01:38
177,Doha,25.29,51.53,78.8,78,0,2.24,QA,2020-11-12 00:04:47
178,Saint-Francois,46.42,3.91,45.0,100,92,2.24,FR,2020-11-12 00:04:47
179,Victoria,22.29,114.16,69.01,61,14,7.0,HK,2020-11-12 00:01:09
180,Saskylakh,71.92,114.08,-3.93,89,99,4.14,RU,2020-11-12 00:04:47
181,Elko,41.0,-115.5,37.4,47,75,16.11,US,2020-11-12 00:04:47
182,Katherine,-14.47,132.27,89.6,52,23,14.99,AU,2020-11-12 00:04:48
183,Acapulco,16.86,-99.89,84.2,70,5,3.36,MX,2020-11-12 00:02:51
184,Buraydah,26.33,43.98,69.8,94,40,5.82,SA,2020-11-11 23:59:56
185,Saiha,22.48,92.97,63.7,75,0,3.49,IN,2020-11-12 00:04:48
186,Olinda,-8.01,-34.86,80.6,74,40,9.17,BR,2020-11-12 00:04:48
187,Sidi Ali,36.1,0.42,60.19,86,0,5.41,DZ,2020-11-12 00:04:48
188,Sur,22.57,59.53,71.42,70,0,4.85,OM,2020-11-12 00:04:49
189,Mar Del Plata,-38.0,-57.56,64.4,82,0,11.41,AR,2020-11-11 23:59:50
190,Lavrentiya,65.58,-171.0,32.65,94,100,13.42,RU,2020-11-12 00:04:51
191,Carmo Do Paranaiba,-19.0,-46.32,70.0,100,100,1.25,BR,2020-11-12 00:04:51
192,Luderitz,-26.65,15.16,67.39,35,0,12.55,NA,2020-11-12 00:04:51
193,Torbay,47.67,-52.73,41.0,86,40,14.99,CA,2020-11-12 00:04:52
194,Fortuna,40.6,-124.16,53.01,76,1,12.75,US,2020-11-12 00:04:52
195,Chilca,-12.52,-76.74,68.0,68,40,12.75,PE,2020-11-12 00:04:52
196,Monte Azul,-15.15,-42.87,70.72,68,21,5.08,BR,2020-11-12 00:04:52
197,Kasongo-Lunda,-6.47,16.82,70.21,93,100,1.63,CD,2020-11-12 00:04:54
198,Muros,42.78,-9.06,55.99,87,75,11.41,ES,2020-11-12 00:04:54
199,Manglaur,29.8,77.87,59.88,43,0,3.31,IN,2020-11-12 00:04:55
200,Miyako,39.64,141.95,46.69,54,0,1.39,JP,2020-11-12 00:04:55
201,Dongsheng,39.82,109.98,35.47,70,0,6.11,CN,2020-11-12 00:04:55
202,Marzuq,14.4,46.47,61.39,63,0,1.52,YE,2020-11-12 00:04:55
203,Hofn,64.25,-15.21,36.41,74,0,6.78,IS,2020-11-12 00:04:56
204,Tuktoyaktuk,69.45,-133.04,3.2,71,75,13.87,CA,2020-11-12 00:04:56
205,Moron,-34.65,-58.62,69.01,72,0,7.0,AR,2020-11-12 00:04:56
206,Paamiut,61.99,-49.67,25.86,83,0,17.0,GL,2020-11-12 00:03:49
207,Zyryanka,65.75,150.85,-14.53,90,74,0.92,RU,2020-11-12 00:04:56
208,Tasiilaq,65.61,-37.64,20.77,81,77,4.94,GL,2020-11-12 00:04:57
209,Espoo,60.25,24.67,45.0,100,75,8.05,FI,2020-11-12 00:04:57
